"MaGV","TenGV","ChuyenNganh","HocVi","Khoa","Email","DienThoai","MatKhau"
"GV303","Nguyễn Toàn Văn","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","VanNT.GV303@ptit.edu.vn","0893192767","vannt@303"
"GV308","Nguyễn Trung Hiếu","KT Dien-Dien tu","Tien si","KT Dien-Dien tu","HieuNT.GV308@ptit.edu.vn","0366048333","hieunt@308"
"GV312","Nguyễn Tuấn Phong","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","PhongNT.GV312@ptit.edu.vn","0955879897","phongnt@312"
"GV316","Nguyễn Văn Thành","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","ThanhNV.GV316@ptit.edu.vn","0802804506","thanhnv@316"
"GV326","Nguyễn Xuân Hưng","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","HungNX.GV326@ptit.edu.vn","0948202226","hungnx@326"
"GV337","Phạm Mạnh Lâm","KT Dien-Dien tu","Tien si","KT Dien-Dien tu","LamPM.GV337@ptit.edu.vn","0997014932","lampm@337"
"GV343","Phạm Thị Đan Ngọc","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","NgocPTD.GV343@ptit.edu.vn","0899628348","ngocptd@343"
"GV348","Phạm Văn Sự","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","SuPV.GV348@ptit.edu.vn","0861066543","supv@348"
"GV351","Phạm Xuân Minh","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","MinhPX.GV351@ptit.edu.vn","0375943808","minhpx@351"
"GV374","Trần Thị Thúy Hà","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","HaTTT.GV374@ptit.edu.vn","0915804432","hattt@374"
"GV379","Trần Tuấn Anh","KT Dien-Dien tu","Tien si","KT Dien-Dien tu","AnhTT.GV379@ptit.edu.vn","0993460702","anhtt@379"
"GV382","Trương Cao Dũng","KT Dien-Dien tu","Tien si","KT Dien-Dien tu","DungTC.GV382@ptit.edu.vn","0855144253","dungtc@382"
"GV388","Võ Huyền Nhi","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","NhiVH.GV388@ptit.edu.vn","0954433698","nhivh@388"
"GV390","Vũ Anh Đào","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","DaoVA.GV390@ptit.edu.vn","0936853950","daova@390"
"GV394","Vũ Thị Hồng Nga","KT Dien-Dien tu","Thac si","KT Dien-Dien tu","NgaVTH.GV394@ptit.edu.vn","0911345517","ngavth@394"
